PROV_ID;IDDPTO;DPTO;NOMDPTO
1;1;2001;Comuna 01                                         
1;2;2002;Comuna 02                                         
1;3;2003;Comuna 03                                         
1;4;2004;Comuna 04                                         
1;5;2005;Comuna 05                                         
1;6;2006;Comuna 06                                         
1;7;2007;Comuna 07                                         
1;8;2008;Comuna 08                                         
1;9;2009;Comuna 09                                         
1;10;2010;Comuna 10                                         
1;11;2011;Comuna 11                                         
1;12;2012;Comuna 12                                         
1;13;2013;Comuna 13                                         
1;14;2014;Comuna 14                                         
1;15;2015;Comuna 15                                         
2;28;6028;Almirante Brown                                   
2;35;6035;Avellaneda                                        
2;91;6091;Berazategui                                       
2;260;6260;Esteban Echeverría                                
2;270;6270;Ezeiza                                            
2;274;6274;Florencio Varela                                  
2;371;6371;General San Martín                                
2;408;6408;Hurlingham                                        
2;410;6410;Ituzaingó                                         
2;412;6412;José C. Paz                                       
2;427;6427;La Matanza                                        
2;434;6434;Lanús                                             
2;490;6490;Lomas de Zamora                                   
2;515;6515;Malvinas Argentinas                               
2;539;6539;Merlo                                             
2;560;6560;Moreno                                            
2;568;6568;Morón                                             
2;658;6658;Quilmes                                           
2;749;6749;San Fernando                                      
2;756;6756;San Isidro                                        
2;760;6760;San Miguel                                        
2;805;6805;Tigre                                             
2;840;6840;Tres de Febrero                                   
2;861;6861;Vicente López                                     
2;7;6007;Adolfo Alsina                                     
2;14;6014;Adolfo Gonzáles Chaves                            
2;21;6021;Alberti                                           
2;42;6042;Ayacucho                                          
2;49;6049;Azul                                              
2;56;6056;Bahía Blanca                                      
2;63;6063;Balcarce                                          
2;70;6070;Baradero                                          
2;77;6077;Bartolomé Mitre                                   
2;84;6084;Benito Juárez                                     
2;98;6098;Berisso                                           
2;105;6105;Bolívar                                           
2;112;6112;Bragado                                           
2;119;6119;Brandsen                                          
2;126;6126;Campana                                           
2;134;6134;Cañuelas                                          
2;140;6140;Capitán Sarmiento                                 
2;147;6147;Carlos Casares                                    
2;154;6154;Carlos Tejedor                                    
2;161;6161;Carmen de Areco                                   
2;168;6168;Castelli                                          
2;175;6175;Colón                                             
2;182;6182;Coronel de Marina L. Rosales                      
2;189;6189;Coronel Dorrego                                   
2;196;6196;Coronel Pringles                                  
2;203;6203;Coronel Suárez                                    
2;210;6210;Chacabuco                                         
2;217;6217;Chascomús                                         
2;224;6224;Chivilcoy                                         
2;231;6231;Daireaux                                          
2;238;6238;Dolores                                           
2;245;6245;Ensenada                                          
2;252;6252;Escobar                                           
2;266;6266;Exaltación de la Cruz                             
2;277;6277;Florentino Ameghino                               
2;280;6280;General Alvarado                                  
2;287;6287;General Alvear                                    
2;294;6294;General Arenales                                  
2;301;6301;General Belgrano                                  
2;308;6308;General Guido                                     
2;315;6315;General Juan Madariaga                            
2;322;6322;General La Madrid                                 
2;329;6329;General Las Heras                                 
2;336;6336;General Lavalle                                   
2;343;6343;General Paz                                       
2;351;6351;General Pinto                                     
2;357;6357;General Pueyrredón                                
2;364;6364;General Rodríguez                                 
2;385;6385;General Viamonte                                  
