year,age,race,d,e,m,type
1990,0,b,3,303823.48448350345,0.9874154412717525,m_observed
1990,1,b,2,296492.165599705,0.6745540800225414,m_observed
1990,2,b,1,282571.548117454,0.35389267131181196,m_observed
1990,3,b,0,272961.3850159216,0,m_observed
1990,4,b,1,273030.3203594528,0.3662596881853522,m_observed
1990,5,b,0,268001.1801905787,0,m_observed
1990,6,b,0,259367.42483172065,0,m_observed
1990,7,b,1,262973.9720278358,0.38026577014022894,m_observed
1990,8,b,0,256260.991055105,0,m_observed
1990,9,b,0,273342.30924960686,0,m_observed
1990,10,b,0,276757.14704912365,0,m_observed
1990,11,b,0,262503.83804066706,0,m_observed
1990,12,b,0,253640.19106075962,0,m_observed
1990,13,b,0,252161.4939614174,0,m_observed
1990,14,b,0,245063.60283156097,0,m_observed
1990,15,b,0,249980.19254141403,0,m_observed
1990,16,b,1,248649.60007274972,0.4021723741793354,m_observed
1990,17,b,5,263195.7110682166,1.8997270053173743,m_observed
1990,18,b,7,265244.49243269634,2.6390745895604955,m_observed
1990,19,b,6,284938.10039079626,2.105720502723547,m_observed
1990,20,b,8,265118.475658088,3.0175188583677808,m_observed
1990,21,b,5,247583.16415038798,2.019523426464846,m_observed
1990,22,b,6,236951.8244748699,2.5321602875593534,m_observed
1990,23,b,8,235214.35832051185,3.4011529130797795,m_observed
1990,24,b,18,246718.14083799112,7.295774821771134,m_observed
1990,25,b,15,249835.22822681096,6.003957130650273,m_observed
1990,26,b,21,250426.75057314106,8.385685615429738,m_observed
1990,27,b,23,251819.75632831297,9.133516899291047,m_observed
1990,28,b,16,237657.3831629671,6.732380785758477,m_observed
1990,29,b,31,265413.307526588,11.679896644554852,m_observed
1990,30,b,28,254791.1309475049,10.989393506702905,m_observed
1990,31,b,29,245056.37039494806,11.834011886025163,m_observed
1990,32,b,48,239599.30193368834,20.033447348391903,m_observed
1990,33,b,54,236488.19260265824,22.834120979024732,m_observed
1990,34,b,31,242295.24304276868,12.794308138574575,m_observed
1990,35,b,55,233168.06536639636,23.5881358425194,m_observed
1990,36,b,56,214950.92296008926,26.052458500212037,m_observed
1990,37,b,60,207737.18362986733,28.88264823446539,m_observed
1990,38,b,55,188068.0986650685,29.244725921300347,m_observed
1990,39,b,51,212829.82492686558,23.962806912764723,m_observed
1990,40,b,49,197166.51382549587,24.852090270951347,m_observed
1990,41,b,41,179898.29729902037,22.790654839746093,m_observed
1990,42,b,38,170761.69312981944,22.253234495110664,m_observed
1990,43,b,47,158622.50825675533,29.630095070696495,m_observed
1990,44,b,27,141598.9131346498,19.06794296812508,m_observed
1990,45,b,18,135510.20931693944,13.283132016939415,m_observed
1990,46,b,21,125187.22147577339,16.774875065075218,m_observed
1990,47,b,19,127681.73538909596,14.880750126162996,m_observed
1990,48,b,19,112396.81107027871,16.904394189724663,m_observed
1990,49,b,18,122659.03317260394,14.674826251622799,m_observed
1990,50,b,17,113605.32956574718,14.964086689402661,m_observed
1990,51,b,8,104366.86011060205,7.665268449699508,m_observed
1990,52,b,8,101586.3323937139,7.875075132149406,m_observed
1990,53,b,8,97165.8179231632,8.233348075478808,m_observed
1990,54,b,6,99745.46573693783,6.015311027594986,m_observed
1990,55,b,7,96928.37596484572,7.221827385758306,m_observed
1990,56,b,8,89189.71866904924,8.969643720578494,m_observed
1990,57,b,8,94123.52602645646,8.499469088898499,m_observed
1990,58,b,4,79606.97965850483,5.024685042893295,m_observed
1990,59,b,4,87661.53250375927,4.563004873122044,m_observed
1990,60,b,6,85220.67899425013,7.040544702072629,m_observed
1990,61,b,5,81008.40354831041,6.172199155879162,m_observed
1990,62,b,3,81909.97496548625,3.6625575838157514,m_observed
1990,63,b,6,78009.22794249853,7.691397746459773,m_observed
1990,64,b,0,82599.26714058881,0,m_observed
1990,65,b,1,78485.66284413931,1.2741180538741823,m_observed
1990,66,b,1,72782.70605504271,1.3739527618604055,m_observed
1990,67,b,2,72244.49683914811,2.7683769525767294,m_observed
1990,68,b,2,65108.47857238035,3.0717965522364694,m_observed
1990,69,b,3,63377.70704026911,4.733525619811161,m_observed
1990,70,b,2,61758.1152425231,3.238440797854716,m_observed
1990,71,b,1,54605.00700539226,1.8313338919657125,m_observed
1990,72,b,0,48309.830270088605,0,m_observed
1990,73,b,1,43992.95171246666,2.2730913954942045,m_observed
1990,74,b,5,42193.56038817997,11.850149534668544,m_observed
1990,75,b,0,41270.079598830336,0,m_observed
1990,76,b,2,36794.543220477295,5.435588608929757,m_observed
1990,77,b,1,35316.0614085321,2.8315728315004214,m_observed
1990,78,b,0,31238.488689938884,0,m_observed
1990,79,b,3,31558.000687427906,9.506305642471013,m_observed
1990,80,b,1,25305.349772477322,3.951733562235219,m_observed
1990,81,b,0,20715.65866581593,0,m_observed
1990,82,b,0,18174.253995896837,0,m_observed
1990,83,b,0,15668.424112851391,0,m_observed
1990,84,b,0,14642.197281495917,0,m_observed
1990,85,b,1,12859.270522433833,7.776490884575723,m_observed
1991,0,b,8,305418.52411684935,2.6193565118988325,m_observed
1991,1,b,9,301621.6788724498,2.983870401373216,m_observed
1991,2,b,2,301927.5184945061,0.6624106374843048,m_observed
1991,3,b,1,285794.7747972285,0.34990142864210877,m_observed
1991,4,b,1,285056.5544604071,0.3508075798828526,m_observed
1991,5,b,0,276124.81926051213,0,m_observed
1991,6,b,0,269498.6058258561,0,m_observed
1991,7,b,0,264543.0453767625,0,m_observed
1991,8,b,0,258350.83964832898,0,m_observed
1991,9,b,0,281562.21977338585,0,m_observed
1991,10,b,0,275845.0535024946,0,m_observed
1991,11,b,0,273371.96021263354,0,m_observed
1991,12,b,0,268523.48070848756,0,m_observed
1991,13,b,0,254607.5997323315,0,m_observed
1991,14,b,2,259510.3317113582,0.7706822255633781,m_observed
1991,15,b,1,251830.56352984923,0.3970923886216341,m_observed
1991,16,b,2,251541.17517179227,0.7950984560019179,m_observed
1991,17,b,5,254673.33807103516,1.9632993535449585,m_observed
1991,18,b,7,258039.62175896295,2.712761688411852,m_observed
1991,19,b,6,276490.2637781476,2.1700583297263325,m_observed
1991,20,b,10,278884.63387119316,3.5857120778546165,m_observed
1991,21,b,8,257849.7919909502,3.1025815216794035,m_observed
1991,22,b,11,234605.40584939264,4.688724013061132,m_observed
1991,23,b,16,234588.6399467397,6.8204496192281905,m_observed
1991,24,b,19,236646.35356082086,8.028858131176223,m_observed
1991,25,b,20,245616.95067146485,8.142760483478126,m_observed
1991,26,b,27,248005.08275664036,10.886873647865619,m_observed
1991,27,b,23,251743.19943830953,9.136294466471266,m_observed
1991,28,b,25,238289.91861916793,10.491421603091274,m_observed
1991,29,b,35,267904.93149549095,13.064335846534828,m_observed
1991,30,b,37,254548.49620634207,14.535540594986294,m_observed
1991,31,b,39,248218.8343053403,15.711942290416651,m_observed
1991,32,b,58,245819.9524021677,23.594504609255853,m_observed
1991,33,b,54,237899.75332506606,22.69863639842217,m_observed
1991,34,b,50,252475.95133318522,19.803866362708124,m_observed
1991,35,b,50,241389.59354951372,20.713403285027706,m_observed
1991,36,b,65,225545.6088277086,28.819004873489984,m_observed
1991,37,b,60,221338.84023587516,27.107759278064133,m_observed
1991,38,b,54,194980.7948088701,27.695035325368067,m_observed
1991,39,b,70,215753.2639120725,32.44446861695108,m_observed
1991,40,b,72,203775.14355668327,35.33306307301021,m_observed
1991,41,b,48,189764.08859046712,25.29456461258566,m_observed
1991,42,b,65,180906.84256309812,35.930094781975306,m_observed
1991,43,b,54,170693.8551754767,31.635585208669006,m_observed
1991,44,b,32,165874.1339355241,19.291735993291468,m_observed
1991,45,b,21,136928.77359179198,15.336440580855987,m_observed
1991,46,b,22,128688.25373422596,17.09557738302643,m_observed
1991,47,b,20,131411.5930623067,15.21935738996583,m_observed
1991,48,b,18,114719.31233866258,15.690470621774866,m_observed
1991,49,b,13,132593.59616886993,9.80439506553795,m_observed
