"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval"
1908,0,0.17754,0.15806,0.31,100000,15806,89028,4125453,41.25,FALSE
1908,1,0.0826,0.07933,0.5,84194,6679,80854,4036426,47.94,FALSE
1908,2,0.04379,0.04286,0.5,77515,3322,75854,3955571,51.03,FALSE
1908,3,0.02495,0.02465,0.5,74193,1829,73278,3879718,52.29,FALSE
1908,4,0.01656,0.01642,0.5,72364,1188,71770,3806439,52.6,FALSE
1908,5,0.01083,0.01077,0.5,71176,767,70793,3734669,52.47,FALSE
1908,6,0.00889,0.00885,0.5,70409,623,70098,3663876,52.04,FALSE
1908,7,0.00603,0.00601,0.5,69786,419,69577,3593779,51.5,FALSE
1908,8,0.00461,0.0046,0.5,69367,319,69207,3524202,50.81,FALSE
1908,9,0.00376,0.00376,0.5,69048,259,68918,3454994,50.04,FALSE
1908,10,0.00351,0.00351,0.5,68789,241,68668,3386076,49.22,FALSE
1908,11,0.00323,0.00322,0.5,68547,221,68437,3317408,48.4,FALSE
1908,12,0.00348,0.00348,0.5,68327,237,68208,3248971,47.55,FALSE
1908,13,0.00357,0.00357,0.5,68089,243,67968,3180763,46.71,FALSE
1908,14,0.00429,0.00428,0.5,67846,291,67701,3112796,45.88,FALSE
1908,15,0.0043,0.00429,0.5,67556,290,67411,3045095,45.08,FALSE
1908,16,0.00487,0.00486,0.5,67266,327,67102,2977684,44.27,FALSE
1908,17,0.00591,0.00589,0.5,66939,394,66742,2910582,43.48,FALSE
1908,18,0.00715,0.00712,0.5,66545,474,66307,2843840,42.74,FALSE
1908,19,0.00665,0.00663,0.5,66070,438,65851,2777532,42.04,FALSE
1908,20,0.00725,0.00722,0.5,65633,474,65396,2711681,41.32,FALSE
1908,21,0.00641,0.00639,0.5,65159,416,64951,2646285,40.61,FALSE
1908,22,0.00829,0.00825,0.5,64743,534,64475,2581335,39.87,FALSE
1908,23,0.00781,0.00778,0.5,64208,500,63959,2516859,39.2,FALSE
1908,24,0.00825,0.00822,0.5,63709,524,63447,2452901,38.5,FALSE
1908,25,0.0081,0.00807,0.5,63185,510,62930,2389454,37.82,FALSE
1908,26,0.00808,0.00805,0.5,62675,504,62423,2326523,37.12,FALSE
1908,27,0.00706,0.00703,0.5,62171,437,61952,2264100,36.42,FALSE
1908,28,0.00791,0.00788,0.5,61734,487,61490,2202148,35.67,FALSE
1908,29,0.00661,0.00659,0.5,61247,403,61045,2140658,34.95,FALSE
1908,30,0.01233,0.01226,0.5,60844,746,60471,2079612,34.18,FALSE
1908,31,0.00607,0.00605,0.5,60098,363,59916,2019141,33.6,FALSE
1908,32,0.00936,0.00932,0.5,59735,557,59456,1959225,32.8,FALSE
1908,33,0.00842,0.00838,0.5,59178,496,58930,1899769,32.1,FALSE
1908,34,0.0087,0.00866,0.5,58682,508,58427,1840839,31.37,FALSE
1908,35,0.00998,0.00993,0.5,58173,578,57884,1782412,30.64,FALSE
1908,36,0.01016,0.01011,0.5,57596,582,57305,1724527,29.94,FALSE
1908,37,0.007,0.00698,0.5,57014,398,56815,1667223,29.24,FALSE
1908,38,0.00819,0.00815,0.5,56616,462,56385,1610408,28.44,FALSE
1908,39,0.00705,0.00702,0.5,56154,394,55957,1554023,27.67,FALSE
1908,40,0.01922,0.01904,0.5,55760,1062,55229,1498066,26.87,FALSE
1908,41,0.00738,0.00735,0.5,54698,402,54497,1442837,26.38,FALSE
1908,42,0.01228,0.0122,0.5,54296,663,53965,1388340,25.57,FALSE
1908,43,0.00829,0.00825,0.5,53633,443,53412,1334375,24.88,FALSE
1908,44,0.01121,0.01115,0.5,53191,593,52894,1280963,24.08,FALSE
1908,45,0.01509,0.01498,0.5,52598,788,52204,1228069,23.35,FALSE
1908,46,0.01284,0.01276,0.5,51810,661,51479,1175865,22.7,FALSE
1908,47,0.00914,0.0091,0.5,51149,465,50916,1124386,21.98,FALSE
1908,48,0.01151,0.01144,0.5,50684,580,50394,1073470,21.18,FALSE
1908,49,0.01015,0.01009,0.5,50104,506,49851,1023076,20.42,FALSE
1908,50,0.03019,0.02974,0.5,49598,1475,48860,973225,19.62,FALSE
1908,51,0.01155,0.01148,0.5,48123,553,47847,924365,19.21,FALSE
1908,52,0.01824,0.01808,0.5,47570,860,47140,876518,18.43,FALSE
1908,53,0.0135,0.01341,0.5,46710,627,46397,829378,17.76,FALSE
1908,54,0.01957,0.01938,0.5,46084,893,45637,782980,16.99,FALSE
1908,55,0.02356,0.02329,0.5,45191,1052,44665,737343,16.32,FALSE
1908,56,0.02488,0.02458,0.5,44139,1085,43596,692678,15.69,FALSE
1908,57,0.01561,0.01549,0.5,43054,667,42720,649082,15.08,FALSE
1908,58,0.01856,0.01839,0.5,42387,780,41997,606362,14.31,FALSE
1908,59,0.01755,0.01739,0.5,41607,724,41246,564365,13.56,FALSE
1908,60,0.07014,0.06776,0.5,40884,2770,39499,523119,12.8,FALSE
1908,61,0.02333,0.02306,0.5,38113,879,37674,483621,12.69,FALSE
1908,62,0.03885,0.03811,0.5,37234,1419,36525,445947,11.98,FALSE
1908,63,0.03253,0.03201,0.5,35816,1146,35242,409422,11.43,FALSE
1908,64,0.04747,0.04637,0.5,34669,1608,33865,374179,10.79,FALSE
1908,65,0.05893,0.05724,0.5,33062,1893,32115,340314,10.29,FALSE
1908,66,0.05886,0.05718,0.5,31169,1782,30278,308199,9.89,FALSE
1908,67,0.04252,0.04163,0.5,29387,1223,28775,277921,9.46,FALSE
1908,68,0.0497,0.04849,0.5,28163,1366,27481,249145,8.85,FALSE
1908,69,0.03806,0.03735,0.5,26798,1001,26297,221665,8.27,FALSE
1908,70,0.18363,0.16819,0.5,25797,4339,23627,195367,7.57,FALSE
1908,71,0.0561,0.05457,0.5,21458,1171,20873,171740,8,FALSE
1908,72,0.10221,0.09724,0.5,20287,1973,19301,150867,7.44,FALSE
