"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval"
1908,0,0.17754,0.15806,0.31,100000,15806,89028,4125453,41.25,FALSE
1908,1,0.04314,0.15462,1.31,84194,13018,301757,4036426,47.94,FALSE
1908,5,0.00685,0.03354,1.95,71176,2387,348593,3734669,52.47,FALSE
1908,10,0.00362,0.01792,2.6,68789,1233,340981,3386076,49.22,FALSE
1908,15,0.00577,0.02847,2.73,67556,1923,333414,3045095,45.08,FALSE
1908,20,0.00759,0.03729,2.57,65633,2447,322227,2711681,41.32,FALSE
1908,25,0.00756,0.03706,2.4,63185,2342,309842,2389454,37.82,FALSE
1908,30,0.00899,0.04389,2.37,60844,2670,297200,2079612,34.18,FALSE
1908,35,0.00849,0.04149,2.3,58173,2414,284346,1782412,30.64,FALSE
1908,40,0.01171,0.05671,2.22,55760,3162,269997,1498066,26.87,FALSE
1908,45,0.01177,0.05703,2.28,52598,3000,254844,1228069,23.35,FALSE
1908,50,0.01868,0.08886,2.25,49598,4407,235882,973225,19.62,FALSE
1908,55,0.02011,0.09531,2.28,45191,4307,214224,737343,16.32,FALSE
1908,60,0.04279,0.19132,2.24,40884,7822,182805,523119,12.8,FALSE
1908,65,0.05012,0.21974,2.2,33062,7265,144946,340314,10.29,FALSE
1908,70,0.10866,0.41063,2.03,25797,10593,97489,195367,7.57,FALSE
1908,75,0.12633,0.46129,2.08,15204,7013,55517,97878,6.44,FALSE
1908,80,0.17477,0.57686,2.05,8190,4725,27034,42361,5.17,FALSE
1908,85,0.21046,0.65111,2.07,3466,2257,10722,15327,4.42,FALSE
1908,90,0.255,0.69963,1.77,1209,846,3318,4605,3.81,FALSE
1908,95,0.27289,0.75127,2.01,363,273,1000,1288,3.55,FALSE
1908,100,0.30648,0.79108,1.94,90,71,233,288,3.19,FALSE
1908,105,0.34106,0.82561,1.88,19,16,46,55,2.9,FALSE
1908,110,0.36746,1,2.72,3,3,9,9,2.72,TRUE
1910,0,0.17584,0.15672,0.31,100000,15672,89121,4209601,42.1,FALSE
1910,1,0.04232,0.15195,1.3,84328,12813,302754,4120479,48.86,FALSE
1910,5,0.00671,0.03289,1.97,71515,2352,350441,3817725,53.38,FALSE
1910,10,0.00345,0.01712,2.51,69163,1184,342867,3467284,50.13,FALSE
1910,15,0.00544,0.02688,2.69,67979,1827,335677,3124418,45.96,FALSE
1910,20,0.00724,0.03557,2.56,66151,2353,325019,2788741,42.16,FALSE
1910,25,0.00723,0.03549,2.42,63799,2264,313143,2463721,38.62,FALSE
1910,30,0.00785,0.03848,2.51,61534,2368,301776,2150578,34.95,FALSE
1910,35,0.00862,0.04217,2.39,59167,2495,289314,1848802,31.25,FALSE
