"Año","Edad","Mujeres","Varones"
1959,0,29495.78,30553.3
1959,1,26882.94,27839.62
1959,2,25727.17,26636.82
1959,3,25278.95,26072.69
1959,4,25018.75,26040.69
1959,5,23891.09,24948.78
1959,6,23718.98,24482.04
1959,7,23939.29,24727.96
1959,8,24279.7,25027.08
1959,9,24309.47,24809.3
1959,10,23837.13,24221.04
1959,11,22678.24,22913.19
1959,12,21472.01,21857.02
1959,13,21894.7,22325.27
1959,14,21538.1,21718.12
1959,15,21811.37,21642.75
1959,16,24225.19,23949.53
1959,17,25085.33,24925.05
1959,18,24531.96,24074.84
1959,19,23545.94,22058.79
1959,20,23736.73,21278.3
1959,21,24375.73,21987.37
1959,22,24925.56,22389.55
1959,23,25295.1,22889.53
1959,24,24309.85,22145.17
1959,25,24949.23,22198.44
1959,26,25927.23,22733.31
1959,27,25174.7,22194.91
1959,28,25533.62,22929.3
1959,29,25519.95,22679.34
1959,30,26691.21,22748.36
1959,31,26247.15,22383.44
1959,32,24240.3,18847.7
1959,33,24372.87,16797.1
1959,34,23334.96,16048.01
1959,35,22867.25,16064.45
1959,36,22101.51,15879.3
1959,37,19739.93,14689.37
1959,38,18383.84,14258.8
1959,39,16568.91,12725.19
1959,40,14455.84,10434.31
1959,41,12898.87,9209.02
1959,42,12345.87,9107.74
1959,43,13581.7,9740.09
1959,44,15111,10498.7
1959,45,16925.88,11438.45
1959,46,17475.31,11653.08
1959,47,16995.58,11430.83
1959,48,17570.81,11594.31
1959,49,17266.61,11720.52
1959,50,17501.27,16052.63
1959,51,17528.75,19783.65
1959,52,16416.61,17963.02
1959,53,16277.67,15452.11
1959,54,15604,14018.05
1959,55,16266.74,13435.26
1959,56,16667.73,12709.85
1959,57,15224.32,11286.03
1959,58,16656.21,11138.88
1959,59,15523.95,10258.39
1959,60,14726.97,9388.71
1959,61,14105.76,9537.49
1959,62,11663.09,8790.33
1959,63,13135.11,8975.19
1959,64,12215.82,8664.78
1959,65,11396.43,8605.06
1959,66,10405.32,7779.4
1959,67,9189.33,6680.18
1959,68,9794.09,6484.48
1959,69,8942.31,5354.36
1959,70,10395.55,5069.7
1959,71,9404.11,4688.83
1959,72,6242.3,3413.88
1959,73,6772.73,3557.27
1959,74,6098.02,3375.8
1959,75,5714.24,3168.9
1959,76,5183.09,2949.09
